106 年11月 發行量加權股價指數歷史資料
日期,開盤指數,最高指數,最低指數,收盤指數
 106/11/01," 10,816.04"," 10,843.41"," 10,785.32"," 10,806.36"
 106/11/02," 10,797.63"," 10,827.67"," 10,788.51"," 10,788.51"
 106/11/03," 10,797.91"," 10,835.70"," 10,765.31"," 10,800.77"
 106/11/06," 10,856.56"," 10,858.50"," 10,769.19"," 10,786.19"
 106/11/07," 10,820.83"," 10,842.61"," 10,807.89"," 10,840.34"
 106/11/08," 10,839.44"," 10,844.74"," 10,806.01"," 10,818.99"
 106/11/09," 10,802.95"," 10,831.38"," 10,721.87"," 10,743.27"
 106/11/10," 10,713.67"," 10,742.61"," 10,659.29"," 10,732.67"
 106/11/13," 10,728.22"," 10,749.39"," 10,683.92"," 10,683.92"
 106/11/14," 10,716.59"," 10,735.08"," 10,654.58"," 10,687.18"
 106/11/15," 10,662.08"," 10,669.59"," 10,600.26"," 10,630.65"
 106/11/16," 10,629.16"," 10,666.66"," 10,609.23"," 10,625.04"
 106/11/17," 10,673.43"," 10,729.45"," 10,673.43"," 10,701.64"
 106/11/20," 10,706.79"," 10,728.39"," 10,656.18"," 10,664.55"
 106/11/21," 10,688.22"," 10,787.58"," 10,687.26"," 10,779.24"
 106/11/22," 10,815.40"," 10,882.65"," 10,801.10"," 10,822.59"
 106/11/23," 10,837.61"," 10,872.29"," 10,809.09"," 10,854.57"

