Date,Open,High,Low,Close,Volume
31-Dec-15,0.93,0.94,0.92,0.93,511700
04-Jan-16,1.05,1.06,1.01,1.06,1900500
05-Jan-16,1.11,1.16,1.08,1.15,2959500
06-Jan-16,1.25,1.34,1.24,1.33,3610900
07-Jan-16,1.46,1.46,1.36,1.44,4504500
08-Jan-16,1.37,1.39,1.21,1.29,2701400
11-Jan-16,1.39,1.41,1.27,1.29,2225700
12-Jan-16,1.35,1.36,1.27,1.35,3073700
13-Jan-16,1.43,1.6,1.39,1.53,5598300
14-Jan-16,1.61,1.61,1.44,1.49,3151100
15-Jan-16,1.7,1.73,1.57,1.61,2710400
19-Jan-16,1.61,1.61,1.45,1.51,3044900
20-Jan-16,1.62,1.69,1.61,1.68,4109900
21-Jan-16,1.68,1.73,1.63,1.73,2514000
22-Jan-16,1.65,1.7,1.63,1.65,1739800
25-Jan-16,1.75,1.82,1.72,1.82,3567600
26-Jan-16,1.88,1.99,1.86,1.95,4256800
27-Jan-16,1.97,2.0,1.91,1.99,3377100
28-Jan-16,1.91,1.95,1.86,1.92,2437200
29-Jan-16,1.79,1.81,1.75,1.79,2451300
01-Feb-16,1.86,1.93,1.82,1.87,2023600
02-Feb-16,1.93,1.95,1.9,1.95,2736000
03-Feb-16,1.97,2.07,1.95,2.05,3760100
04-Feb-16,2.18,2.3,2.14,2.24,5412700
05-Feb-16,2.22,2.34,2.09,2.34,4563200
08-Feb-16,2.4,2.48,2.35,2.43,3918500
09-Feb-16,2.52,2.54,2.34,2.37,3763800
10-Feb-16,2.38,2.39,2.15,2.38,4509600
11-Feb-16,2.59,2.75,2.54,2.75,6541800
12-Feb-16,2.67,2.81,2.63,2.74,4016700
16-Feb-16,2.54,2.77,2.45,2.57,6031200
17-Feb-16,2.47,2.58,2.36,2.58,4612500
18-Feb-16,2.43,2.64,2.41,2.63,5023400
19-Feb-16,2.57,2.66,2.56,2.63,5042400
22-Feb-16,2.54,2.69,2.53,2.67,2676100
23-Feb-16,2.71,2.83,2.7,2.82,4253700
24-Feb-16,2.97,3.11,2.93,3.01,7023500
25-Feb-16,3.06,3.18,3.03,3.16,6517600
26-Feb-16,3.08,3.16,2.92,3.0,5755700
29-Feb-16,3.15,3.28,3.1,3.26,4779500
01-Mar-16,3.32,3.34,3.08,3.1,5295800
02-Mar-16,3.19,3.3,3.15,3.26,3606900
03-Mar-16,3.27,3.4,3.2,3.36,4869500
04-Mar-16,3.36,3.42,3.15,3.15,7382900
07-Mar-16,3.27,3.39,3.2,3.31,4303600
08-Mar-16,3.33,3.39,3.2,3.31,5970500
09-Mar-16,3.17,3.4,3.05,3.32,6110700
10-Mar-16,3.25,3.4,3.22,3.38,4841200
11-Mar-16,3.36,3.4,3.27,3.39,4450700
14-Mar-16,3.42,3.52,3.35,3.5,7676400
15-Mar-16,3.49,3.65,3.37,3.64,7569700
16-Mar-16,3.58,3.98,3.53,3.96,8268300
17-Mar-16,3.99,4.19,3.86,3.91,10711300
18-Mar-16,3.92,3.99,3.56,3.78,46173800
21-Mar-16,3.76,3.98,3.73,3.83,6156500
22-Mar-16,3.91,4.0,3.84,3.98,5228200
23-Mar-16,3.76,3.95,3.69,3.69,9520900
24-Mar-16,3.69,3.79,3.65,3.74,4772100
28-Mar-16,3.74,3.75,3.6,3.72,3806600
29-Mar-16,3.77,4.06,3.75,3.99,8864700
30-Mar-16,3.85,3.95,3.77,3.82,7780300
31-Mar-16,3.73,3.8,3.61,3.64,5931200
01-Apr-16,3.49,3.74,3.35,3.72,6651200
04-Apr-16,3.69,3.69,3.58,3.59,3315800
05-Apr-16,3.76,3.76,3.61,3.71,3249200
06-Apr-16,3.68,3.71,3.6,3.71,4056500
07-Apr-16,3.81,3.87,3.8,3.85,4096400
08-Apr-16,3.85,3.93,3.78,3.93,4136500
11-Apr-16,4.01,4.17,4.01,4.17,4813100
12-Apr-16,4.1,4.12,3.95,4.05,5678000
13-Apr-16,3.86,4.01,3.8,3.84,4141400
14-Apr-16,3.79,3.83,3.54,3.58,5815500
15-Apr-16,3.53,3.66,3.48,3.59,4633500
18-Apr-16,3.6,3.63,3.49,3.59,2629600
19-Apr-16,3.64,3.72,3.52,3.68,10909500
20-Apr-16,3.59,3.64,3.32,3.39,9429100
21-Apr-16,3.51,3.51,3.3,3.38,4045700
22-Apr-16,3.33,3.39,3.01,3.1,6749900
25-Apr-16,3.08,3.21,3.04,3.18,3297000
26-Apr-16,3.18,3.19,3.04,3.18,3422000
27-Apr-16,3.19,3.27,3.13,3.27,3388800
28-Apr-16,3.35,3.57,3.32,3.53,5065300
29-Apr-16,3.55,3.67,3.55,3.66,6672000
02-May-16,3.72,3.74,3.54,3.55,3945200
03-May-16,3.57,3.61,3.36,3.37,4610600
04-May-16,3.29,3.4,3.12,3.14,3384800
05-May-16,3.35,3.43,3.28,3.4,4106800
06-May-16,3.49,3.71,3.46,3.68,6659100
09-May-16,3.43,3.47,3.29,3.29,3592100
10-May-16,3.25,3.42,3.15,3.35,3109000
11-May-16,3.4,3.49,3.28,3.45,4713500
12-May-16,3.4,3.43,3.2,3.2,2997000
